,cust_id,country,invoice_num
100,12457,Switzerland,65
101,12458,Switzerland,38
102,12461,Switzerland,35
103,12462,Spain,72
104,12463,Belgium,88
105,12464,Belgium,29
106,12465,Belgium,51
107,12468,Germany,40
108,12471,Germany,531
109,12472,Germany,391
110,12473,Germany,179
111,12474,Germany,457
112,12475,Germany,36
113,12476,Germany,264
114,12477,Germany,308
115,12478,Greece,36
116,12479,Germany,35
117,12480,Germany,154
118,12481,Germany,218
119,12483,Sweden,81
120,12484,Spain,350
121,12488,France,55
122,12489,France,15
123,12490,France,245
124,12491,France,26
125,12492,Germany,20
126,12493,France,23
127,12494,France,84
128,12497,Germany,14
129,12498,Germany,23
130,12500,Germany,65
131,12501,Germany,160
132,12502,Spain,147
133,12503,Spain,1
134,12504,Germany,15
135,12505,Italy,1
136,12506,France,23
137,12507,Spain,23
138,12508,France,69
139,12509,France,7
140,12510,Spain,33
141,12512,Israel,34
142,12513,France,36
143,12514,Italy,51
144,12515,Italy,16
145,12516,Germany,26
146,12517,Germany,286
147,12518,Germany,124
148,12519,Germany,18
149,12520,Germany,155
150,12521,Germany,38
151,12522,Germany,12
152,12523,France,110
153,12524,Germany,144
154,12526,Germany,71
155,12527,Germany,18
156,12528,Germany,95
157,12530,Germany,68
158,12531,Germany,17
159,12532,France,16
160,12534,Germany,63
161,12535,France,34
162,12536,France,273
163,12538,Spain,21
164,12539,Spain,274
165,12540,Spain,481
166,12541,Spain,52
167,12544,Spain,20
168,12545,Spain,50
169,12546,Spain,70
170,12547,Spain,8
171,12548,Spain,5
172,12550,Spain,57
173,12551,Spain,10
174,12552,Italy,20
175,12553,France,196
176,12556,Spain,121
177,12557,Spain,33
178,12558,USA,22
179,12559,Germany,22
180,12560,Germany,111
181,12561,Germany,16
182,12562,France,168
183,12564,France,21
184,12565,Saudi Arabia,10
185,12566,Germany,20
186,12567,France,463
187,12569,Germany,191
188,12571,France,34
189,12572,Germany,62
190,12573,France,28
191,12574,France,11
192,12576,Poland,89
193,12577,France,148
194,12578,Italy,120
195,12579,France,31
196,12580,Germany,24
197,12581,Germany,15
198,12582,Finland,22
199,12583,France,251
200,12584,Italy,126
201,12585,Germany,97
202,12586,Italy,12
203,12587,Finland,4
204,12588,Finland,10
205,12589,France,35
206,12590,Germany,70
207,12591,Italy,26
208,12592,Germany,18
209,12593,France,21
210,12594,Italy,119
211,12596,Spain,27
212,12597,Spain,214
213,12598,France,133
214,12599,France,62
215,12600,Germany,65
216,12601,Germany,29
217,12602,France,12
218,12603,Germany,3
219,12604,France,16
220,12605,Germany,3
221,12607,USA,202
222,12609,Germany,60
223,12610,Italy,111
224,12611,Italy,65
225,12612,Germany,21
226,12613,Germany,163
227,12614,Germany,20
228,12615,France,105
229,12616,France,36
230,12617,France,42
231,12618,Italy,11
232,12619,Germany,95
233,12620,France,92
234,12621,Germany,474
235,12622,Germany,11
236,12623,Germany,18
237,12624,France,38
238,12625,Germany,91
239,12626,Germany,307
240,12627,Germany,230
241,12628,Germany,43
242,12630,Finland,64
243,12631,Finland,31
244,12633,Germany,103
245,12635,Germany,101
246,12637,France,394
247,12638,Sweden,39
248,12639,Sweden,22
249,12640,France,53
250,12641,Sweden,10
251,12642,Germany,47
252,12643,France,24
253,12644,Germany,31
254,12645,Germany,74
255,12646,USA,45
256,12647,Germany,128
257,12648,Germany,21
258,12649,Germany,33
259,12650,France,20
260,12651,France,9
261,12652,France,51
262,12653,Israel,43
263,12654,Germany,38
264,12656,France,130
265,12657,France,56
266,12658,Germany,36
267,12659,France,5
268,12660,France,13
269,12662,Germany,232
270,12664,Finland,38
271,12665,Germany,4
272,12666,Israel,2
273,12667,Finland,33
274,12668,Germany,168
275,12669,France,102
276,12670,France,94
277,12672,France,10
278,12673,Germany,42
279,12674,France,91
280,12676,Sweden,45
281,12678,France,167
282,12679,France,56
283,12680,France,52
284,12681,France,646
285,12682,France,525
286,12683,France,362
287,12684,France,105
288,12685,France,157
289,12686,France,7
290,12688,Israel,171
291,12689,France,72
292,12690,France,16
293,12691,France,32
294,12693,Germany,41
295,12694,France,37
296,12695,France,27
297,12697,Sweden,43
298,12700,France,270
299,12701,Germany,53
300,12702,Germany,12
301,12703,Germany,22
302,12704,Finland,90
303,12705,Germany,348
304,12707,France,33
305,12708,Germany,174
306,12709,Germany,257
307,12710,Germany,79
308,12712,Germany,142
309,12713,Germany,38
310,12714,France,259
311,12715,Sweden,21
312,12716,France,69
313,12717,Greece,56
314,12718,France,19
315,12719,France,42
316,12720,Germany,359
317,12721,France,164
318,12722,France,57
319,12723,France,69
320,12724,France,53
321,12725,Italy,24
322,12726,France,124
323,12727,France,141
324,12728,France,46
325,12729,France,26
326,12731,France,277
327,12732,France,12
328,12733,USA,22
329,12734,France,4
330,12735,France,43
331,12736,France,4
332,12738,Germany,11
333,12739,United Arab Emirates,38
334,12740,France,27
335,12743,Unspecified,134
336,12744,Singapore,229
337,12747,United Kingdom,103
338,12748,United Kingdom,4642
339,12749,United Kingdom,231
340,12750,Poland,15
341,12752,Norway,53
342,12753,Japan,230
343,12754,Japan,65
344,12755,Japan,6
345,12756,Japan,4
346,12757,Portugal,377
347,12758,Portugal,97
348,12759,Netherlands,95
349,12762,Portugal,69
350,12763,Japan,18
351,12764,Lebanon,45
352,12766,Portugal,310
353,12769,Brazil,32
354,12770,Japan,12
355,12772,Portugal,55
356,12775,Netherlands,67
357,12778,Netherlands,51
358,12779,Poland,159
359,12781,Czech Republic,30
360,12782,Portugal,107
361,12783,Portugal,86
362,12784,Portugal,59
363,12785,Portugal,15
364,12787,Netherlands,20
365,12789,Netherlands,4
366,12790,Netherlands,21
367,12791,Netherlands,2
368,12792,Portugal,25
369,12793,Portugal,24
370,12794,Portugal,45
371,12795,Portugal,14
372,12797,Portugal,17
373,12798,Japan,8
374,12802,Netherlands,26
375,12808,Portugal,28
376,12809,Portugal,26
377,12811,Portugal,31
378,12812,Japan,15
379,12814,Poland,2
380,12815,Poland,47
381,12816,Poland,29
382,12817,Austria,4
383,12818,Austria,16
384,12820,United Kingdom,59
385,12821,United Kingdom,6
386,12822,United Kingdom,47
387,12823,United Kingdom,5
388,12824,United Kingdom,25
389,12826,United Kingdom,94
390,12827,United Kingdom,25
391,12828,United Kingdom,56
392,12829,United Kingdom,12
393,12830,United Kingdom,39
394,12831,United Kingdom,9
395,12832,United Kingdom,27
396,12833,United Kingdom,24
397,12834,United Kingdom,18
398,12836,United Kingdom,175
399,12837,United Kingdom,12
400,12838,United Kingdom,123
401,12839,United Kingdom,316
402,12840,United Kingdom,116
403,12841,United Kingdom,439
404,12842,United Kingdom,34
405,12843,United Kingdom,108
406,12844,United Kingdom,52
407,12845,United Kingdom,27
408,12847,United Kingdom,91
409,12849,United Kingdom,51
410,12851,United Kingdom,50
411,12852,United Kingdom,20
412,12853,United Kingdom,84
413,12854,United Kingdom,115
414,12855,United Kingdom,3
415,12856,United Kingdom,317
416,12857,United Kingdom,46
417,12863,United Kingdom,6
418,12864,United Kingdom,3
419,12865,Austria,96
420,12866,Belgium,26
421,12867,United Kingdom,551
422,12868,United Kingdom,107
423,12870,United Kingdom,2
424,12871,United Kingdom,11
425,12872,United Kingdom,66
426,12873,United Kingdom,4
427,12875,United Kingdom,2
428,12876,Belgium,85
429,12877,United Kingdom,154
430,12878,United Kingdom,49
431,12879,United Kingdom,12
432,12881,United Kingdom,7
433,12882,United Kingdom,13
434,12883,United Kingdom,42
435,12884,United Kingdom,7
436,12885,United Kingdom,72
437,12886,United Kingdom,86
438,12888,United Kingdom,7
439,12890,United Kingdom,82
440,12891,United Kingdom,3
441,12893,United Kingdom,34
442,12895,United Kingdom,24
443,12897,United Kingdom,4
444,12901,United Kingdom,125
445,12902,United Kingdom,10
446,12904,United Kingdom,72
447,12906,United Kingdom,63
448,12908,United Kingdom,4
449,12909,United Kingdom,96
450,12910,United Kingdom,75
451,12912,United Kingdom,24
452,12913,United Kingdom,50
453,12915,United Kingdom,22
454,12916,United Kingdom,109
455,12917,United Kingdom,2
456,12919,United Kingdom,52
457,12920,United Kingdom,28
458,12921,United Kingdom,741
459,12922,United Kingdom,28
460,12923,United Kingdom,29
461,12924,United Kingdom,31
462,12925,United Kingdom,45
463,12928,United Kingdom,84
464,12929,United Kingdom,9
465,12930,United Kingdom,27
466,12931,United Kingdom,102
467,12933,United Kingdom,107
468,12935,United Kingdom,130
469,12936,United Kingdom,63
470,12937,United Kingdom,120
471,12938,United Kingdom,9
472,12939,United Kingdom,47
473,12940,United Kingdom,103
474,12942,United Kingdom,75
475,12943,United Kingdom,1
476,12944,United Kingdom,30
477,12945,United Kingdom,23
478,12947,United Kingdom,103
479,12948,United Kingdom,118
480,12949,United Kingdom,219
481,12950,United Kingdom,23
482,12951,United Kingdom,65
483,12952,United Kingdom,80
484,12953,United Kingdom,17
485,12955,United Kingdom,183
486,12956,United Kingdom,19
487,12957,United Kingdom,244
488,12962,United Kingdom,16
489,12963,United Kingdom,96
490,12965,United Kingdom,109
491,12966,United Kingdom,10
492,12967,United Kingdom,33
493,12968,United Kingdom,5
494,12970,United Kingdom,151
495,12971,United Kingdom,308
496,12974,United Kingdom,8
497,12976,United Kingdom,22
498,12977,United Kingdom,9
499,12980,United Kingdom,24
500,12981,United Kingdom,20
501,12982,United Kingdom,34
502,12984,United Kingdom,4
503,12985,United Kingdom,78
504,12987,United Kingdom,30
505,12988,United Kingdom,92
506,12989,United Kingdom,68
507,12990,United Kingdom,13
508,12991,United Kingdom,31
509,12993,United Kingdom,27
510,12994,United Kingdom,73
511,12995,United Kingdom,5
512,12997,United Kingdom,67
513,12999,United Kingdom,28
514,13000,United Kingdom,31
515,13001,United Kingdom,342
516,13002,United Kingdom,7
517,13003,United Kingdom,6
518,13004,United Kingdom,409
519,13005,United Kingdom,29
520,13006,United Kingdom,4
521,13008,United Kingdom,15
522,13011,United Kingdom,3
523,13012,United Kingdom,107
524,13013,United Kingdom,222
525,13014,United Kingdom,124
526,13015,United Kingdom,176
527,13016,United Kingdom,47
528,13017,United Kingdom,1
529,13018,United Kingdom,459
530,13021,United Kingdom,134
531,13023,United Kingdom,40
532,13026,United Kingdom,43
533,13027,United Kingdom,26
534,13028,United Kingdom,47
535,13029,United Kingdom,10
536,13030,United Kingdom,99
537,13032,United Kingdom,75
538,13033,United Kingdom,11
539,13034,United Kingdom,37
540,13035,United Kingdom,30
541,13037,United Kingdom,48
542,13038,United Kingdom,28
543,13040,United Kingdom,43
544,13043,United Kingdom,14
545,13044,United Kingdom,33
546,13045,United Kingdom,18
547,13046,United Kingdom,35
548,13047,United Kingdom,196
549,13048,United Kingdom,137
550,13049,United Kingdom,14
551,13050,United Kingdom,422
552,13052,United Kingdom,18
553,13055,United Kingdom,78
554,13058,United Kingdom,8
555,13059,United Kingdom,8
556,13060,United Kingdom,15
557,13061,United Kingdom,10
558,13062,United Kingdom,11
559,13064,United Kingdom,69
560,13065,United Kingdom,14
561,13066,United Kingdom,49
562,13067,United Kingdom,15
563,13068,United Kingdom,2
564,13069,United Kingdom,470
565,13070,United Kingdom,9
566,13072,United Kingdom,7
567,13075,United Kingdom,22
568,13077,United Kingdom,112
569,13078,United Kingdom,380
570,13079,United Kingdom,6
571,13080,United Kingdom,6
572,13081,United Kingdom,1061
573,13082,United Kingdom,75
574,13083,United Kingdom,18
575,13085,United Kingdom,29
576,13089,United Kingdom,1857
577,13090,United Kingdom,161
578,13091,United Kingdom,24
579,13092,United Kingdom,26
580,13093,United Kingdom,170
581,13094,United Kingdom,30
582,13095,United Kingdom,6
583,13097,United Kingdom,437
584,13098,United Kingdom,605
585,13099,United Kingdom,1
586,13101,United Kingdom,8
587,13102,United Kingdom,310
588,13103,United Kingdom,8
589,13104,United Kingdom,20
590,13106,United Kingdom,2
591,13107,United Kingdom,60
592,13108,United Kingdom,10
593,13109,United Kingdom,50
594,13110,United Kingdom,146
595,13113,United Kingdom,280
596,13115,United Kingdom,132
597,13116,United Kingdom,31
598,13117,United Kingdom,76
599,13118,United Kingdom,82
600,13120,United Kingdom,1
601,13121,United Kingdom,53
602,13122,United Kingdom,55
603,13124,United Kingdom,235
604,13126,United Kingdom,142
605,13127,United Kingdom,15
606,13130,United Kingdom,2
607,13131,United Kingdom,46
608,13132,United Kingdom,3
609,13133,United Kingdom,7
610,13134,United Kingdom,105
611,13135,United Kingdom,1
612,13136,United Kingdom,139
613,13137,United Kingdom,705
614,13138,United Kingdom,63
615,13139,United Kingdom,174
616,13140,United Kingdom,46
617,13141,United Kingdom,136
618,13142,United Kingdom,23
619,13144,United Kingdom,3
620,13145,United Kingdom,7
621,13146,United Kingdom,17
622,13147,United Kingdom,4
623,13148,United Kingdom,347
624,13149,United Kingdom,86
625,13151,United Kingdom,75
626,13153,United Kingdom,15
627,13154,United Kingdom,1
628,13155,United Kingdom,85
629,13157,United Kingdom,89
630,13158,United Kingdom,79
631,13159,United Kingdom,122
632,13160,United Kingdom,4
633,13161,United Kingdom,8
634,13162,United Kingdom,82
635,13165,United Kingdom,42
636,13166,United Kingdom,42
637,13167,United Kingdom,65
638,13168,United Kingdom,133
639,13169,United Kingdom,13
640,13170,United Kingdom,32
641,13171,United Kingdom,48
642,13173,United Kingdom,43
643,13174,United Kingdom,314
644,13176,United Kingdom,72
645,13177,United Kingdom,17
646,13178,United Kingdom,265
647,13182,United Kingdom,11
648,13183,United Kingdom,94
649,13184,United Kingdom,183
650,13185,United Kingdom,1
651,13186,United Kingdom,84
652,13187,United Kingdom,37
653,13188,United Kingdom,2
654,13189,United Kingdom,29
655,13192,United Kingdom,63
656,13193,United Kingdom,29
657,13194,United Kingdom,3
658,13196,United Kingdom,110
659,13198,United Kingdom,229
660,13199,United Kingdom,120
661,13200,United Kingdom,46
662,13203,United Kingdom,57
663,13207,United Kingdom,8
664,13208,United Kingdom,150
665,13209,United Kingdom,329
666,13210,United Kingdom,22
667,13211,United Kingdom,56
668,13212,United Kingdom,143
669,13213,United Kingdom,92
670,13216,United Kingdom,5
671,13217,United Kingdom,7
672,13218,United Kingdom,5
673,13220,United Kingdom,21
674,13221,United Kingdom,66
675,13223,United Kingdom,5
676,13224,United Kingdom,109
677,13225,United Kingdom,34
678,13226,United Kingdom,16
679,13227,United Kingdom,9
680,13228,United Kingdom,2
681,13229,United Kingdom,10
682,13230,United Kingdom,612
683,13232,United Kingdom,207
684,13233,United Kingdom,43
685,13235,United Kingdom,59
686,13236,United Kingdom,39
687,13238,United Kingdom,32
688,13239,United Kingdom,22
689,13240,United Kingdom,67
690,13242,United Kingdom,13
691,13243,United Kingdom,58
692,13244,United Kingdom,27
693,13245,United Kingdom,16
694,13246,United Kingdom,143
695,13247,United Kingdom,25
696,13248,United Kingdom,26
697,13249,United Kingdom,23
698,13253,United Kingdom,36
699,13255,United Kingdom,14
700,13256,United Kingdom,1
701,13258,United Kingdom,38
702,13259,United Kingdom,87
703,13260,United Kingdom,8
704,13261,United Kingdom,9
705,13262,United Kingdom,11
706,13263,United Kingdom,1677
707,13265,United Kingdom,91
708,13266,United Kingdom,202
709,13267,United Kingdom,224
710,13268,United Kingdom,447
711,13269,United Kingdom,320
712,13270,United Kingdom,1
713,13271,United Kingdom,101
714,13272,United Kingdom,15
715,13273,United Kingdom,16
716,13276,United Kingdom,30
717,13277,United Kingdom,8
718,13278,United Kingdom,46
719,13279,United Kingdom,11
720,13280,United Kingdom,85
721,13282,United Kingdom,40
722,13283,United Kingdom,7
723,13284,United Kingdom,14
724,13285,United Kingdom,187
725,13291,United Kingdom,42
726,13292,United Kingdom,31
727,13294,United Kingdom,54
728,13295,United Kingdom,11
729,13296,United Kingdom,5
730,13297,United Kingdom,59
731,13298,United Kingdom,2
732,13299,United Kingdom,5
733,13300,United Kingdom,22
734,13301,United Kingdom,81
735,13302,United Kingdom,1
736,13304,United Kingdom,21
737,13305,United Kingdom,81
738,13307,United Kingdom,1
739,13308,United Kingdom,57
740,13309,United Kingdom,107
741,13310,United Kingdom,77
742,13311,United Kingdom,26
743,13313,United Kingdom,78
744,13314,United Kingdom,75
745,13316,United Kingdom,88
746,13317,United Kingdom,135
747,13318,United Kingdom,20
748,13319,United Kingdom,500
749,13320,United Kingdom,110
750,13321,United Kingdom,11
751,13322,United Kingdom,25
752,13323,United Kingdom,21
753,13324,United Kingdom,77
754,13325,United Kingdom,12
755,13327,United Kingdom,109
756,13328,United Kingdom,17
757,13329,United Kingdom,19
758,13330,United Kingdom,53
759,13332,United Kingdom,21
760,13334,United Kingdom,268
761,13336,United Kingdom,51
762,13338,United Kingdom,24
763,13339,United Kingdom,54
764,13340,United Kingdom,134
765,13341,United Kingdom,42
766,13343,United Kingdom,22
767,13344,United Kingdom,119
768,13345,United Kingdom,22
769,13347,United Kingdom,8
770,13348,United Kingdom,14
771,13349,United Kingdom,16
772,13350,United Kingdom,43
773,13351,United Kingdom,16
774,13352,United Kingdom,27
775,13354,United Kingdom,51
776,13355,United Kingdom,32
777,13356,United Kingdom,42
778,13357,United Kingdom,90
779,13358,United Kingdom,29
780,13359,United Kingdom,24
781,13362,United Kingdom,169
782,13363,United Kingdom,60
783,13364,United Kingdom,20
784,13365,United Kingdom,132
785,13366,United Kingdom,1
786,13368,United Kingdom,29
787,13369,United Kingdom,19
788,13370,United Kingdom,44
789,13372,United Kingdom,23
790,13373,United Kingdom,158
791,13375,United Kingdom,38
792,13376,United Kingdom,53
793,13379,United Kingdom,97
794,13381,United Kingdom,173
795,13382,United Kingdom,15
796,13384,United Kingdom,155
797,13385,United Kingdom,35
798,13388,United Kingdom,36
799,13389,United Kingdom,51
800,13390,United Kingdom,13
801,13391,United Kingdom,1
802,13394,United Kingdom,164
803,13395,United Kingdom,21
804,13396,United Kingdom,47
805,13397,United Kingdom,39
806,13398,United Kingdom,26
807,13402,United Kingdom,39
808,13403,United Kingdom,3
809,13404,United Kingdom,11
810,13405,United Kingdom,27
811,13408,United Kingdom,501
812,13410,United Kingdom,30
813,13411,United Kingdom,18
814,13414,United Kingdom,24
815,13416,United Kingdom,19
816,13417,United Kingdom,28
817,13418,United Kingdom,314
818,13419,United Kingdom,16
819,13420,United Kingdom,10
820,13421,United Kingdom,105
821,13422,United Kingdom,128
822,13425,United Kingdom,78
823,13426,United Kingdom,159
824,13427,United Kingdom,29
825,13428,United Kingdom,74
826,13429,United Kingdom,67
827,13430,United Kingdom,54
828,13431,United Kingdom,46
829,13434,United Kingdom,10
830,13435,United Kingdom,103
831,13436,United Kingdom,12
832,13437,United Kingdom,167
833,13439,United Kingdom,54
834,13441,United Kingdom,13
835,13447,United Kingdom,62
836,13448,United Kingdom,199
837,13449,United Kingdom,19
838,13450,United Kingdom,71
839,13451,United Kingdom,444
840,13452,United Kingdom,2
841,13453,United Kingdom,17
842,13455,United Kingdom,53
843,13456,United Kingdom,65
844,13458,United Kingdom,394
845,13460,United Kingdom,17
846,13461,United Kingdom,27
847,13462,United Kingdom,10
848,13464,United Kingdom,41
849,13466,United Kingdom,18
850,13467,United Kingdom,99
851,13468,United Kingdom,306
852,13470,United Kingdom,10
853,13471,United Kingdom,260
854,13473,United Kingdom,22
855,13474,United Kingdom,64
856,13475,United Kingdom,86
857,13476,United Kingdom,61
858,13477,United Kingdom,81
859,13479,United Kingdom,16
860,13481,United Kingdom,112
861,13482,United Kingdom,11
862,13483,United Kingdom,10
863,13484,United Kingdom,8
864,13485,United Kingdom,23
865,13486,United Kingdom,69
866,13487,United Kingdom,34
867,13488,United Kingdom,427
868,13489,United Kingdom,14
869,13491,United Kingdom,86
870,13492,Switzerland,50
871,13493,Switzerland,8
872,13494,United Kingdom,18
873,13495,United Kingdom,52
874,13496,United Kingdom,36
875,13497,United Kingdom,20
876,13499,United Kingdom,45
877,13500,United Kingdom,67
878,13501,Switzerland,53
879,13502,United Kingdom,18
880,13503,United Kingdom,17
881,13504,United Kingdom,22
882,13505,Switzerland,227
883,13506,United Kingdom,29
884,13507,United Kingdom,162
885,13508,United Kingdom,12
886,13509,United Kingdom,44
887,13510,United Kingdom,117
888,13512,United Kingdom,15
889,13513,United Kingdom,10
890,13514,United Kingdom,4
891,13515,United Kingdom,59
892,13516,United Kingdom,44
893,13517,United Kingdom,143
894,13518,United Kingdom,38
895,13519,United Kingdom,9
896,13520,Switzerland,95
897,13521,United Kingdom,436
898,13522,United Kingdom,5
899,13523,United Kingdom,177
900,13524,United Kingdom,27
901,13525,United Kingdom,6
902,13527,United Kingdom,224
903,13529,United Kingdom,15
904,13531,United Kingdom,22
905,13532,United Kingdom,66
906,13533,United Kingdom,76
907,13534,United Kingdom,342
908,13536,United Kingdom,179
909,13538,United Kingdom,25
910,13539,United Kingdom,38
911,13544,United Kingdom,87
912,13546,United Kingdom,98
913,13548,United Kingdom,124
914,13549,United Kingdom,52
915,13551,United Kingdom,4
916,13552,United Kingdom,121
917,13555,United Kingdom,136
918,13557,United Kingdom,34
919,13558,United Kingdom,175
920,13560,United Kingdom,33
921,13561,United Kingdom,14
922,13562,United Kingdom,82
923,13563,United Kingdom,49
924,13564,United Kingdom,85
925,13565,United Kingdom,38
926,13566,United Kingdom,176
927,13568,United Kingdom,44
928,13569,United Kingdom,85
929,13570,United Kingdom,27
930,13571,United Kingdom,341
931,13572,United Kingdom,33
932,13573,United Kingdom,26
933,13575,United Kingdom,46
934,13576,United Kingdom,130
935,13577,United Kingdom,85
936,13579,United Kingdom,23
937,13581,United Kingdom,10
938,13583,United Kingdom,53
939,13584,United Kingdom,24
940,13587,United Kingdom,11
941,13588,United Kingdom,180
942,13589,United Kingdom,21
943,13590,United Kingdom,89
944,13591,United Kingdom,58
945,13592,United Kingdom,16
946,13593,United Kingdom,129
947,13594,United Kingdom,26
948,13596,United Kingdom,166
949,13598,United Kingdom,41
950,13599,United Kingdom,264
951,13600,United Kingdom,19
952,13601,United Kingdom,99
953,13602,United Kingdom,23
954,13603,United Kingdom,27
955,13606,United Kingdom,43
956,13607,United Kingdom,98
957,13610,United Kingdom,228
958,13611,United Kingdom,76
959,13614,United Kingdom,201
960,13615,United Kingdom,24
961,13617,United Kingdom,44
962,13618,United Kingdom,13
963,13621,United Kingdom,19
964,13623,United Kingdom,86
965,13626,United Kingdom,19
966,13627,United Kingdom,94
967,13629,United Kingdom,59
968,13630,United Kingdom,80
969,13631,United Kingdom,12
970,13632,United Kingdom,147
971,13634,United Kingdom,188
972,13635,United Kingdom,62
973,13636,United Kingdom,64
974,13637,United Kingdom,101
975,13638,United Kingdom,8
976,13639,United Kingdom,40
977,13642,United Kingdom,66
978,13643,United Kingdom,28
979,13644,United Kingdom,148
980,13645,United Kingdom,5
981,13647,United Kingdom,80
982,13649,United Kingdom,23
983,13650,United Kingdom,98
984,13651,United Kingdom,6
985,13652,United Kingdom,63
986,13654,United Kingdom,166
987,13655,United Kingdom,56
988,13656,United Kingdom,49
989,13657,United Kingdom,16
990,13658,United Kingdom,112
991,13659,United Kingdom,108
992,13662,United Kingdom,58
993,13663,United Kingdom,13
994,13666,United Kingdom,12
995,13667,United Kingdom,87
996,13668,United Kingdom,501
997,13669,United Kingdom,9
998,13670,United Kingdom,25
999,13672,United Kingdom,16
1000,13673,United Kingdom,65
1001,13675,United Kingdom,25
1002,13678,United Kingdom,16
1003,13680,United Kingdom,216
1004,13681,United Kingdom,57
1005,13682,United Kingdom,3
1006,13684,United Kingdom,31
1007,13685,United Kingdom,39
1008,13686,United Kingdom,8
1009,13689,United Kingdom,6
1010,13690,United Kingdom,9
1011,13692,United Kingdom,55
1012,13693,United Kingdom,4
1013,13694,United Kingdom,585
1014,13695,United Kingdom,90
1015,13697,United Kingdom,12
1016,13699,United Kingdom,14
1017,13700,United Kingdom,197
1018,13703,United Kingdom,1
1019,13704,United Kingdom,135
1020,13705,United Kingdom,28
1021,13706,United Kingdom,20
1022,13707,United Kingdom,48
1023,13708,United Kingdom,51
1024,13709,United Kingdom,346
1025,13710,United Kingdom,8
1026,13711,United Kingdom,13
1027,13712,United Kingdom,10
1028,13715,United Kingdom,108
1029,13716,United Kingdom,21
1030,13717,United Kingdom,103
1031,13718,United Kingdom,12
1032,13719,United Kingdom,60
1033,13720,United Kingdom,43
1034,13721,United Kingdom,28
1035,13722,United Kingdom,86
1036,13723,United Kingdom,6
1037,13725,United Kingdom,118
1038,13726,United Kingdom,42
1039,13727,United Kingdom,20
1040,13728,United Kingdom,63
1041,13730,United Kingdom,43
1042,13731,United Kingdom,38
1043,13732,United Kingdom,33
1044,13735,United Kingdom,208
1045,13736,United Kingdom,194
1046,13737,United Kingdom,30
1047,13739,United Kingdom,3
1048,13740,United Kingdom,23
1049,13741,United Kingdom,35
1050,13742,United Kingdom,323
1051,13743,United Kingdom,42
1052,13744,United Kingdom,72
1053,13745,United Kingdom,26
1054,13747,United Kingdom,1
1055,13748,United Kingdom,28
1056,13750,United Kingdom,24
1057,13751,United Kingdom,9
1058,13752,United Kingdom,76
1059,13753,United Kingdom,35
1060,13754,United Kingdom,12
1061,13755,United Kingdom,343
1062,13756,United Kingdom,143
1063,13758,United Kingdom,117
1064,13759,United Kingdom,25
1065,13760,United Kingdom,57
1066,13761,United Kingdom,70
1067,13762,United Kingdom,14
1068,13763,United Kingdom,17
1069,13764,United Kingdom,208
1070,13767,United Kingdom,399
1071,13769,United Kingdom,143
1072,13771,United Kingdom,120
1073,13772,United Kingdom,177
1074,13774,United Kingdom,22
1075,13777,United Kingdom,219
